file_name	seed	formula_x	formula_y
2018-11-17-23-54_seed_6726.png	6726	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-55_seed_5013.png	5013	runif(1, -1, 1) * x_i^4 - sin(y_i^2)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-56_seed_5531.png	5531	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-56_seed_2513.png	2513	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-56_seed_8872.png	8872	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-56_seed_5594.png	5594	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-56_seed_9891.png	9891	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-57_seed_4158.png	4158	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-57_seed_5870.png	5870	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-57_seed_7910.png	7910	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-57_seed_2500.png	2500	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-57_seed_5711.png	5711	runif(1, -1, 1) * x_i^3 - sin(y_i^3)	runif(1, -1, 1) * y_i^4 - cos(x_i^2)
2018-11-17-23-59_seed_1677.png	1677	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-23-59_seed_904.png	904	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-23-59_seed_3897.png	3897	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-00_seed_6660.png	6660	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-00_seed_2345.png	2345	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_7087.png	7087	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_345.png	345	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_3900.png	3900	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_6557.png	6557	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_4358.png	4358	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_8033.png	8033	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-01_seed_3856.png	3856	runif(1, -1, 1) * x_i^3 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-00-03_seed_396.png	396	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-03_seed_8482.png	8482	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-03_seed_5702.png	5702	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-03_seed_1516.png	1516	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-04_seed_8762.png	8762	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-04_seed_3576.png	3576	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-04_seed_6987.png	6987	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-04_seed_4397.png	4397	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_5975.png	5975	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_1042.png	1042	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_5225.png	5225	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_2794.png	2794	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_2589.png	2589	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_8392.png	8392	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-00-05_seed_8715.png	8715	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-18-10-01_seed_4401.png	4401	runif(1, -1, 1) * x_i^1 - sin(y_i^1)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
